"","V_m_s","REYNOLDS","Q_LPS","DELTA_P_m","CD_EXP","CD_TEO","SD"
"nbr.val",6,6,6,6,6,6,6
"nbr.null",0,0,0,0,0,0,0
"nbr.na",0,0,0,0,0,0,0
"min",0.87,50433.108,2.299,7.625,0.569,0.62,-0.021
"max",1.296,75131.514,3.425,13.521,0.641,0.62,0.051
"range",0.426,24698.406,1.126,5.896,0.072,0,0.072
"sum",6.831,395991.172,18.051,65.137,3.752,3.72,-0.032
"median",1.175,68118.227,3.105,11.085,0.638,0.62,-0.018
"mean",1.139,65998.529,3.009,10.856,0.625,0.62,-5e-03
"SE.mean",0.064,3733.726,0.17,0.904,0.011,0,0.011
"CI.mean.0.95",0.166,9597.848,0.438,2.325,0.029,0,0.029
"var",0.025,83644262.708,0.174,4.908,1e-03,0,1e-03
"std.dev",0.158,9145.724,0.417,2.215,0.028,0,0.028
"coef.var",0.139,0.139,0.139,0.204,0.045,0,-5.229
